x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000000000000000000100010000000000	Lmo2	Mitf	N	NA	1.89741	3.61755	3934	-1.72014	0	NA	NA	NA	NA
000000000000000000000010000001000	Mitf	Sox7	N	Tbx20,Gata1	9.25887	10.9898	3934	-1.73093	0	NA	NA	NA	NA
000000000000000001000000000000100	Ldb1	Tal1	N	Cbfa2t3h,Notch1	6.49359	8.23478	3934	-1.74119	0	NA	NA	NA	NA
000010000000000000010000000000000	Etv2	Lyl1	N	HoxB4	4.55658	6.29991	3934	-1.74333	0	NA	NA	NA	NA
000000000000000000011000000000000	Lyl1	Mecom	N	NA	1.82862	3.57651	3934	-1.74789	0	NA	NA	NA	NA
000000001000010000000000000000000	FoxO4	HoxB2	N	NA	0.123897	1.88481	3934	-1.760913	0	NA	NA	NA	NA
000000000100010000000000000000000	Gata1	HoxB2	N	Etv2	2.21965	3.98653	3934	-1.76688	0	NA	NA	NA	NA
000000000000000101000000000000000	HoxD8	Ldb1	N	NA	0.337702	2.11169	3934	-1.773988	0	NA	NA	NA	NA
000000100000000000000000000010000	Fli1	Sox17	N	Meis1	4.57713	6.35364	3934	-1.77651	0	NA	NA	NA	NA
000000000000000000000000001000100	Runx1	Tal1	N	Ikaros	3.51185	5.29043	3934	-1.77858	0	NA	NA	NA	NA
000000000000010001000000000000000	HoxB2	Ldb1	N	NA	0.30952	2.0932	3934	-1.78368	0	NA	NA	NA	NA
000100001000000000000000000000000	Ets2	FoxO4	N	NA	0.225528	2.01417	3934	-1.788642	0	NA	NA	NA	NA
000000010000000100000000000000000	FoxH1	HoxD8	N	NA	0.265648	2.05706	3934	-1.791412	0	NA	NA	NA	NA
000000010000010000000000000000000	FoxH1	HoxB2	N	NA	0.243479	2.03857	3934	-1.795091	0	NA	NA	NA	NA
